17:44:24.958 [atcher-4] INFO     a.e.s.Slf4jLogger - Slf4jLogger started
17:45:55.394 [tcher-11] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [7] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:45:55.395 [tcher-11] DEBUG         tph.ircLogic - received handled message Check
17:45:55.396 [tcher-11] DEBUG    t.r.ircLogicTests - received handled message EndTurn()
17:45:55.396 [tcher-11] DEBUG         tph.ircLogic - received handled message Activate
17:45:58.406 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:45:58.406 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:46:01.426 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:46:03.426 [tcher-10] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:46:04.447 [atcher-2] DEBUG         tph.ircLogic - received handled message Check
17:46:07.468 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:46:08.448 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:46:10.488 [tcher-10] DEBUG         tph.ircLogic - received handled message Check
17:46:13.378 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message CardPlayedAdjustmentResults
17:46:13.378 [atcher-2] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:13.379 [atcher-2] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:13.379 [tcher-12] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [8] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:46:13.379 [tcher-12] INFO     t.r.ircLogicTests - CardPlayedAdjustmentTest Passed!
17:46:13.468 [tcher-10] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:46:13.468 [tcher-10] DEBUG    tph.LogFileReader - Game Status Cleared
17:46:13.469 [tcher-10] DEBUG       tph.GameStatus - received handled message GameOver()
17:46:13.469 [tcher-10] DEBUG    tph.LogFileReader - Reader file changed to testsituations/fullboard.txt
17:46:13.508 [atcher-4] DEBUG         tph.ircLogic - received handled message Check
17:46:13.519 [tcher-10] INFO     tph.LogFileReader - Friendly Player: 1, Enemy Player: 2
17:46:13.519 [tcher-10] DEBUG       tph.GameStatus - received handled message DefinePlayers(1)
17:46:13.519 [tcher-10] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion One id=21 zone=PLAY zonePos=1 some player=1 some
17:46:13.519 [tcher-10] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion One,21,1,1)
17:46:13.519 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Two id=22 zone=PLAY zonePos=2 some player=1 some
17:46:13.519 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Three id=23 zone=PLAY zonePos=3 some player=1 some
17:46:13.519 [tcher-11] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Two,22,2,1)
17:46:13.520 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Four id=24 zone=PLAY zonePos=4 some player=1 some
17:46:13.520 [tcher-11] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Three,23,3,1)
17:46:13.520 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Five id=25 zone=PLAY zonePos=5 some player=1 some
17:46:13.520 [tcher-11] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Four,24,4,1)
17:46:13.520 [tcher-11] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Five,25,5,1)
17:46:13.520 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Six id=26 zone=PLAY zonePos=6 some player=1 some
17:46:13.520 [tcher-11] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Friendly Minion Seven id=27 zone=PLAY zonePos=7 some player=1 some
17:46:13.521 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Six,26,6,1)
17:46:13.521 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Friendly Minion Seven,27,7,1)
17:46:13.521 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion One id=31 zone=PLAY zonePos=1 some player=2 some
17:46:13.521 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion One,31,1,2)
17:46:13.521 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Two id=32 zone=PLAY zonePos=2 some player=2 some
17:46:13.521 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Two,32,2,2)
17:46:13.521 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Three id=33 zone=PLAY zonePos=3 some player=2 some
17:46:13.521 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Three,33,3,2)
17:46:13.521 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Four id=34 zone=PLAY zonePos=4 some player=2 some
17:46:13.522 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Four,34,4,2)
17:46:13.522 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Five id=35 zone=PLAY zonePos=5 some player=2 some
17:46:13.522 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Five,35,5,2)
17:46:13.522 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Six id=36 zone=PLAY zonePos=6 some player=2 some
17:46:13.523 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Six,36,6,2)
17:46:13.524 [atcher-4] INFO     tph.LogFileReader - Minion Summoned: some FULL_ENTITY - Updating [name=Enemy Minion Seven id=37 zone=PLAY zonePos=7 some player=2 some
17:46:13.525 [atcher-4] DEBUG       tph.GameStatus - received handled message MinionSummoned(Enemy Minion Seven,37,7,2)
17:46:16.528 [atcher-4] DEBUG         tph.ircLogic - received handled message Check
17:46:19.548 [tcher-11] DEBUG         tph.ircLogic - received handled message Check
17:46:22.568 [atcher-4] DEBUG         tph.ircLogic - received handled message Check
17:46:23.663 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!att my 1, target his 1
17:46:23.664 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@4735e4ee)
17:46:24.814 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter2, login=~PircBot message=!att my 1, target his 1
17:46:24.814 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@33194444)
17:46:25.525 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!att my 1, target his 1
17:46:25.525 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter3, login=~PircBot message=!att my 1, target his 1
17:46:25.526 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@359ce4e2)
17:46:25.526 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@3b5b0c21)
17:46:25.590 [tcher-11] DEBUG         tph.ircLogic - received handled message Check
17:46:25.889 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter4, login=~PircBot message=!att my 1, target his 1
17:46:25.890 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter3, login=~PircBot message=!att my 1, target his 3
17:46:25.890 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@3f648f92)
17:46:25.890 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter5, login=~PircBot message=!att my 1, target his 1
17:46:25.890 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@711a0d7d)
17:46:25.890 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@7a66061a)
17:46:26.291 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter4, login=~PircBot message=!att my 1, target his 4
17:46:26.291 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@288f4640)
17:46:26.797 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter1, login=~PircBot message=!att my 3, target his 3
17:46:26.799 [tcher-11] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@4b567d74)
17:46:27.316 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter5, login=~PircBot message=!att my 1, target his 5
17:46:27.317 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@25f6d37d)
17:46:28.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter2, login=~PircBot message=!att my 1, target his 2
17:46:28.243 [d-Thread] DEBUG           tph.IrcBot - IRC message: sender=voter2, login=~PircBot message=!att my 3, target his 3
17:46:28.243 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@50556393)
17:46:28.243 [atcher-4] DEBUG         tph.ircLogic - received handled message CommandVote(tph.Command@1a49f955)
17:46:28.612 [tcher-11] DEBUG         tph.ircLogic - received handled message Check
17:46:29.219 [tcher-12] DEBUG         tph.ircLogic - received handled message Direct Decide
17:46:29.220 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.220 [atcher-9] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.221 [atcher-9] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:31.221 [atcher-9] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [9] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:46:31.222 [atcher-6] DEBUG    t.r.ircLogicTests - received handled message NormalAttack(1,1)
17:46:31.223 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.223 [atcher-6] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:31.223 [atcher-6] INFO  a.DeadLetterActorRef - Message [scala.None$] from Actor[akka://TwitchPlaysHearthstone/user/logFileReader#-929163595] to Actor[akka://TwitchPlaysHearthstone/deadLetters] was not delivered. [10] dead letters encountered, no more dead letters will be logged. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17:46:31.248 [tcher-11] DEBUG    tph.LogFileReader - Reader file changed to testsituations/fullboardcommands.txt
17:46:31.248 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.250 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.251 [atcher-5] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.251 [atcher-5] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.252 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.252 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.252 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.252 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.253 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.253 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.253 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.253 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.254 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.254 [atcher-8] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.255 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.255 [atcher-8] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.256 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.256 [atcher-8] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.257 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.260 [atcher-3] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.261 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.262 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.263 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.263 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.263 [atcher-5] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.264 [tcher-14] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.265 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.265 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.266 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.267 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.267 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.267 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.268 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.268 [atcher-3] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.268 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.269 [atcher-8] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.269 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.270 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.270 [atcher-6] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.271 [tcher-11] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.272 [tcher-17] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.273 [tcher-18] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.274 [tcher-18] INFO     tph.LogFileReader - Card Death: [Power] PowerTaskList some TAG_CHANGE Entity=[name=some id=21 zone=some zonePos=55 some player=1 some tag=ZONE value=GRAVEYARD
17:46:31.274 [tcher-18] DEBUG       tph.GameStatus - received handled message CardDeath(some,21,55,1)
17:46:31.274 [tcher-18] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=22 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=1
17:46:31.274 [tcher-18] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=23 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=2
17:46:31.274 [tcher-18] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=24 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=3
17:46:31.275 [tcher-18] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=25 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=4
17:46:31.275 [tcher-15] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=26 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=5
17:46:31.275 [tcher-15] DEBUG       tph.GameStatus - received handled message BoardPositionChange(22,1,1)
17:46:31.275 [tcher-15] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=27 zone=PLAY zonePos=55 cardId=some player=1] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=6
17:46:31.276 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:31.276 [tcher-19] DEBUG       tph.GameStatus - received handled message BoardPositionChange(23,1,2)
17:46:31.276 [tcher-19] DEBUG       tph.GameStatus - received handled message BoardPositionChange(24,1,3)
17:46:31.276 [tcher-19] DEBUG       tph.GameStatus - received handled message BoardPositionChange(25,1,4)
17:46:31.276 [tcher-19] DEBUG       tph.GameStatus - received handled message BoardPositionChange(26,1,5)
17:46:31.276 [tcher-19] DEBUG       tph.GameStatus - received handled message BoardPositionChange(27,1,6)
17:46:31.277 [tcher-19] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:31.393 [tcher-13] INFO     tph.LogFileReader - Card Death: [Power] PowerTaskList some TAG_CHANGE Entity=[name=some id=31 zone=some zonePos=55 some player=2 some tag=ZONE value=GRAVEYARD
17:46:31.393 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=32 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=1
17:46:31.393 [tcher-13] DEBUG       tph.GameStatus - received handled message CardDeath(some,31,55,2)
17:46:31.393 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=33 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=2
17:46:31.393 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=34 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=3
17:46:31.393 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=35 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=4
17:46:31.394 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=36 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=5
17:46:31.394 [tcher-13] INFO     tph.LogFileReader - Board Position Change: [Zone] ZoneChangeList.ProcessChanges() - processing index=55 change=powerTask=[power=[type=TAG_CHANGE entity=[id=55 cardId=some name=some] tag=ZONE_POSITION value=55] complete=False] entity=[name=some id=37 zone=PLAY zonePos=55 cardId=some player=2] srcZoneTag=INVALID srcPos= dstZoneTag=INVALID dstPos=6
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(32,2,1)
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(33,2,2)
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(34,2,3)
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(35,2,4)
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(36,2,5)
17:46:31.394 [tcher-13] DEBUG       tph.GameStatus - received handled message BoardPositionChange(37,2,6)
17:46:34.232 [tcher-12] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:46:35.223 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.224 [atcher-9] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.224 [atcher-9] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:37.235 [atcher-2] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.235 [atcher-2] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:37.235 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message NormalAttack(2,2)
17:46:37.235 [atcher-2] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.236 [atcher-2] DEBUG       tph.GameStatus - received handled message GetGameStatus
17:46:37.236 [tcher-17] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.236 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.237 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.237 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.237 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.238 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.238 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.238 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.238 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.239 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.239 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.239 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.239 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.239 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.240 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.240 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.240 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.240 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.240 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.241 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.241 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.241 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.241 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.242 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.243 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.244 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.245 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.246 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.251 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.252 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.252 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.253 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.253 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.254 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.255 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.255 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.256 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.256 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.257 [tcher-16] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.257 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.258 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.258 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.258 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.259 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.259 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.260 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.260 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.261 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.261 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.261 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.262 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.262 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.262 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.262 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.263 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.263 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.263 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.263 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.264 [tcher-10] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.264 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.264 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.264 [tcher-13] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.265 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.265 [tcher-20] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.265 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.266 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.266 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.266 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.267 [atcher-2] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.267 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.267 [tcher-19] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.267 [atcher-7] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.268 [tcher-15] DEBUG       tph.Controller - received handled message GetGameStatus
17:46:37.268 [tcher-12] DEBUG       tph.Controller - received handled message GetGameStatus
